
Epoch: 0 	Training Loss: 113.860941 	Validation Loss: 97.954427
Epoch: 1 	Training Loss: 96.578909 	Validation Loss: 94.195611
Epoch: 2 	Training Loss: 93.434615 	Validation Loss: 91.460008
Epoch: 3 	Training Loss: 91.497532 	Validation Loss: 87.215757
Epoch: 4 	Training Loss: 87.976546 	Validation Loss: 86.818804
Epoch: 5 	Training Loss: 87.533705 	Validation Loss: 87.209138
Epoch: 6 	Training Loss: 84.040629 	Validation Loss: 83.962382
Epoch: 7 	Training Loss: 83.874790 	Validation Loss: 83.863647
Epoch: 8 	Training Loss: 83.810192 	Validation Loss: 83.907470
Epoch: 9 	Training Loss: 83.789023 	Validation Loss: 83.815007
Epoch: 10 	Training Loss: 83.781654 	Validation Loss: 83.856156
Epoch: 11 	Training Loss: 83.724526 	Validation Loss: 83.704742
Epoch: 12 	Training Loss: 83.475904 	Validation Loss: 83.630436
Epoch: 13 	Training Loss: 83.425195 	Validation Loss: 83.541305
Epoch: 14 	Training Loss: 83.424282 	Validation Loss: 83.543620
Epoch: 15 	Training Loss: 83.411589 	Validation Loss: 83.539261
Epoch: 16 	Training Loss: 83.358593 	Validation Loss: 83.453280
Epoch: 17 	Training Loss: 83.480350 	Validation Loss: 83.857817
Epoch: 18 	Training Loss: 83.549929 	Validation Loss: 83.869918
Epoch: 0 	Training Loss: 113.462588 	Validation Loss: 68.194127
Epoch: 1 	Training Loss: 80.899146 	Validation Loss: 85.608322
Epoch: 2 	Training Loss: 85.426580 	Validation Loss: 95.549025
Epoch: 3 	Training Loss: 73.799569 	Validation Loss: 70.149894
Epoch: 4 	Training Loss: 75.191242 	Validation Loss: 77.245632
Epoch: 5 	Training Loss: 70.559642 	Validation Loss: 74.824077
Epoch: 6 	Training Loss: 70.512816 	Validation Loss: 73.150605
Epoch: 7 	Training Loss: 69.814599 	Validation Loss: 69.254193
Epoch: 8 	Training Loss: 70.168148 	Validation Loss: 57.166656
Epoch: 9 	Training Loss: 65.980680 	Validation Loss: 59.374816
Epoch: 10 	Training Loss: 64.182140 	Validation Loss: 52.094557
Epoch: 11 	Training Loss: 61.825830 	Validation Loss: 61.099119
Epoch: 12 	Training Loss: 59.165024 	Validation Loss: 47.352579
Epoch: 13 	Training Loss: 56.145515 	Validation Loss: 43.321936
Epoch: 14 	Training Loss: 53.063357 	Validation Loss: 44.197040
Epoch: 15 	Training Loss: 49.311426 	Validation Loss: 38.485627
Epoch: 16 	Training Loss: 45.310503 	Validation Loss: 38.412366
Epoch: 17 	Training Loss: 40.739273 	Validation Loss: 36.421681
Epoch: 18 	Training Loss: 38.515133 	Validation Loss: 29.916659
Epoch: 19 	Training Loss: 35.047310 	Validation Loss: 26.937230
Epoch: 20 	Training Loss: 30.939262 	Validation Loss: 28.583050
Epoch: 21 	Training Loss: 28.774427 	Validation Loss: 25.768783
